smiles,synthon_id,synthon_number,bb_id
Cl.Cl.CCOC(=O)C1=CSC(CN)=N1,7326808,1,EN300-75624
Cl.COC(=O)C(CN)CC=1C=CC=C2C=CC=CC12,7326812,1,EN300-76093
Cl.COC(=O)COC=1C=CC=C(CN)C1,7326816,1,EN300-76832
Cl.COC(=O)CCCOC=1C=CC(CN)=CC1,7326818,1,EN300-77716
Cl.COC(=O)CC1CNCCO1,7326822,1,EN300-100108
COC(=O)C=1C=C(N)C=C(Cl)C1,7326826,1,EN300-77882
Cl.COC(=O)C1(CN)CCCC1,7326830,1,EN300-96709
Cl.COC(=O)C(C)(C)CN,7326832,1,EN300-105537
CCOC(=O)C1CCN(CC1)C(=O)C=2C=CC(N)=CC2,7326836,1,EN300-82982
Cl.COC(=O)C(CN)CC(C)C,7326846,1,EN300-85666
Cl.CCOC(=O)C(CN)C=1C=CC=CC1,7326850,1,EN300-89860
COC(=O)C=1C=C(N)C=CC1C,7326854,1,EN300-97828
Cl.CCOC(=O)COC=1C=CC(CCN)=CC1,7326858,1,EN300-93101
COC(=O)C1(C)CCNC1,7326862,1,EN300-107160
CCOC(=O)C=1C=C(N)C=C(C1)S(=O)(=O)C,7326864,1,EN300-103592
Cl.COC(=O)C1(F)CCNC1,7326868,1,EN300-96908
COC(=O)C=1C=CC(N)=C(C)C1,7590916,1,EN300-57546
COC(=O)C=1C=CC(F)=C(N)C1,8284964,1,EN300-27670
Cl.COC(=O)CC(N)C=1C=CC(SC)=CC1,8284976,1,EN300-68308
COC(=O)CCC=1C=CC(N)=CC1,8284978,1,EN300-69034
Cl.COC(=O)C1(N)CC1,8284984,1,EN300-122695
Cl.COC(=O)CC=1C=CC=C(N)C1,8284988,1,EN300-83024
Cl.COC(=O)CCCOC=1C=CC(N)=CC1,8284990,1,EN300-74728
Cl.COC(=O)CC(N)C=1C=CC(F)=CC1F,8285006,1,EN300-84657
Cl.COC(=O)CC(N)C1CCCCC1,8285014,1,EN300-92144
Cl.COC(=O)C(N)C=1C=CC=CC1Cl,8285022,1,EN300-96012
Cl.COC(=O)C(N)C=1C=CC=CC1F,8285024,1,EN300-105895
Cl.COC(=O)C(N)C=1C=CC(C)=CC1,8285036,1,EN300-96629
COC(=O)COC=1C=CC(N)=CC1Cl,8285042,1,EN300-113026
Cl.COC(=O)C(N)CC1=CNC=2C=C(F)C=CC12,8285058,1,EN300-100959
Cl.CCOC(=O)C(N)CC=1C=C(Cl)C=C(Cl)C1,8285064,1,EN300-106898
Cl.COC(=O)C(CN)CC=1C=CC=CC1OC,8285066,1,EN300-115595
Cl.COC(=O)C(N)C=1C=CC(F)=C(F)C1,8285076,1,EN300-119944
COC(=O)COC=1C=CC=C(N)C1,8331208,1,EN300-35991
Cl.COC(=O)C1CCNC1,8331214,1,EN300-59826
CCOC(=O)C1CCCN(C1)C(=O)CNC,8331218,1,EN300-64795
Cl.COC(=O)C(CN)C=1C=CC=C(C)C1,8331222,1,EN300-71837
Cl.COC(=O)C=1C=CC(OCCN)=CC1,8331224,1,EN300-72916
Cl.COC(=O)C=1C=CC=2CCNCC2C1,8331250,1,EN300-124818
Cl.CCOC(=O)C1(C)CCNCC1,8331258,1,EN300-124728
Cl.COC(=O)C=1C=CC=C(CCN)C1,8331262,1,EN300-124228
Cl.COC(=O)CCCCCCCN,8331270,1,EN300-107554
Cl.CCOC(=O)CCC1CCCNC1,8331282,1,EN300-115808
COC(=O)C(C)(C)C1CCCNC1,8331288,1,EN300-125116
COC(=O)COC=1C=CC(N)=CC1,8448700,1,EN300-40996
CCOC(=O)C=1SC(CN)=NC1C,8448712,1,EN300-101070
COC(=O)CC=1C=CC(N)=CC1,8726848,1,EN300-55739
Cl.CCOC(=O)CCC(N)C(=O)OCC,8726894,1,EN300-18809
Cl.CNCC=1C=CC(OCC(=O)OC)=CC1,8964966,1,EN300-131818
COC(=O)C=1C=C(N)C(C)=CC1C,9210082,1,EN300-171660
Cl.COC(=O)CC1NCCC=2C=C(OC)C(OC)=CC12,9348820,1,EN300-07951
COC(=O)C=1C=C(N)C=C(C)C1C,9348830,1,EN300-57275
